level,series_id,month,forecast_base,forecast_conservative,forecast_optimistic,ci95_lower,ci95_upper
brand,ابوهاشم,2026-07,1084957.8743614198,793389.859614864,1376525.8891079756,793389.859614864,1376525.8891079756
brand,ابوهاشم,2026-08,1108229.418690938,695889.9778821601,1520568.859499716,695889.9778821601,1520568.859499716
brand,ابوهاشم,2026-09,1131500.963020456,626490.3476174297,1636511.5784234824,626490.3476174297,1636511.5784234824
brand,ابوهاشم,2026-10,1154772.5073499742,571636.4778568626,1737908.536843086,571636.4778568626,1737908.536843086
brand,ابوهاشم,2026-11,1178044.0516794922,526078.1506415323,1830009.9527174523,526078.1506415323,1830009.9527174523
brand,ابوهاشم,2026-12,1201315.5960090104,487122.73456366756,1915508.4574543533,487122.73456366756,1915508.4574543533
brand,ابوهاشم,2027-01,1224587.1403385284,453170.68305832846,1996003.5976187284,453170.68305832846,1996003.5976187284
brand,اسبشيال,2026-07,1045526.7039870834,762555.4098883478,1328497.998085819,762555.4098883478,1328497.998085819
brand,اسبشيال,2026-08,1107502.8634096838,707321.0215329862,1507684.7052863813,707321.0215329862,1507684.7052863813
brand,اسبشيال,2026-09,1169479.0228322842,679358.3643697591,1659599.6812948093,679358.3643697591,1659599.6812948093
brand,اسبشيال,2026-10,1231455.1822548849,665512.5940574137,1797397.770452356,665512.5940574137,1797397.770452356
brand,اسبشيال,2026-11,1293431.3416774853,660688.2923916274,1926174.390963343,660688.2923916274,1926174.390963343
brand,اسبشيال,2026-12,1355407.5011000857,662272.218703151,2048542.7834970204,662272.218703151,2048542.7834970204
brand,اسبشيال,2027-01,1417383.660522686,668711.9881673126,2166055.3328780597,668711.9881673126,2166055.3328780597
brand,الهنا,2026-07,1875417.453206388,1140883.1249684794,2609951.7814442967,1140883.1249684794,2609951.7814442967
brand,الهنا,2026-08,1874414.2883839894,835625.8793613282,2913202.6974066505,835625.8793613282,2913202.6974066505
brand,الهنا,2026-09,1873411.1235615907,601160.3471500583,3145661.8999731233,601160.3471500583,3145661.8999731233
brand,الهنا,2026-10,1872407.958739192,403339.3022633747,3341476.615215009,403339.3022633747,3341476.615215009
brand,الهنا,2026-11,1871404.7939167933,228936.1041696861,3513873.4836639008,228936.1041696861,3513873.4836639008
brand,الهنا,2026-12,1870401.6290943946,71167.32635350549,3669635.9318352835,71167.32635350549,3669635.9318352835
brand,الهنا,2027-01,1869398.464271996,-73996.69768539933,3812793.6262293914,-73996.69768539933,3812793.6262293914
brand,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),2026-01,402.415068501929,-3958.116336822183,4762.946473826041,-3958.116336822183,4762.946473826041
brand,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),2026-02,-347.7124974562321,-6514.435150019403,5819.010155106939,-6514.435150019403,5819.010155106939
brand,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),2026-03,-1097.8400634143932,-8650.502005435472,6454.821878606686,-8650.502005435472,6454.821878606686
brand,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),2026-04,-1847.9676293725543,-10569.030440020779,6873.095181275669,-10569.030440020779,6873.095181275669
brand,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),2026-05,-2598.0951953307153,-12348.539835658119,7152.349444996687,-12348.539835658119,7152.349444996687
brand,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),2026-06,-3348.2227612888764,-14029.299711714204,7332.854189136451,-14029.299711714204,7332.854189136451
brand,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),2026-07,-4098.350327247038,-15635.23200982163,7438.531355327553,-15635.23200982163,7438.531355327553
