level,series_id,month,forecast_base,forecast_conservative,forecast_optimistic,ci95_lower,ci95_upper
item,13,2026-07,655012.0230674002,474060.4949138543,835963.5512209461,474060.4949138543,835963.5512209461
item,13,2026-08,675871.9555986036,419967.85035172204,931776.0608454852,419967.85035172204,931776.0608454852
item,13,2026-09,696731.8881298071,383314.64766063547,1010149.1285989787,383314.64766063547,1010149.1285989787
item,13,2026-10,717591.8206610105,355688.76435391867,1079494.8769681023,355688.76435391867,1079494.8769681023
item,13,2026-11,738451.7531922138,333831.8356084182,1143071.6707760096,333831.8356084182,1143071.6707760096
item,13,2026-12,759311.6857234172,316072.7735703651,1202550.5978764694,316072.7735703651,1202550.5978764694
item,13,2027-01,780171.6182546206,301418.8754032353,1258924.361106006,301418.8754032353,1258924.361106006
item,101,2026-07,449671.11013255833,224467.2076007639,674875.0126643528,224467.2076007639,674875.0126643528
item,101,2026-08,447650.7593470504,129164.34608723811,766137.1726068626,129164.34608723811,766137.1726068626
item,101,2026-09,445630.4085615425,55565.807313685305,835695.0098093997,55565.807313685305,835695.0098093997
item,101,2026-10,443610.05777603464,-6797.747287554201,894017.8628396235,-6797.747287554201,894017.8628396235
item,101,2026-11,441589.7069905267,-61981.52786880266,945160.941849856,-61981.52786880266,945160.941849856
item,101,2026-12,439569.3562050188,-112065.29308135412,991204.0054913918,-112065.29308135412,991204.0054913918
item,101,2027-01,437549.00541951094,-158284.51496084646,1033382.5257998684,-158284.51496084646,1033382.5257998684
item,120,2026-07,310534.9513024048,161298.01716465325,459771.88544015633,161298.01716465325,459771.88544015633
item,120,2026-08,302841.78424543136,91788.88798084276,513894.68051002,91788.88798084276,513894.68051002
item,120,2026-09,295148.617188458,36662.66489606208,553634.5694808539,36662.66489606208,553634.5694808539
item,120,2026-10,287455.45013148454,-11018.418144018564,585929.3184069877,-11018.418144018564,585929.3184069877
item,120,2026-11,279762.2830745111,-53941.64641116036,613466.2125601826,-53941.64641116036,613466.2125601826
item,120,2026-12,272069.11601753766,-93485.22339729348,637623.4554323688,-93485.22339729348,637623.4554323688
item,120,2027-01,264375.9489605643,-130467.86519365187,659219.7631147804,-130467.86519365187,659219.7631147804
item,102,2026-07,275702.1196429284,116885.93449795348,434518.3047879033,116885.93449795348,434518.3047879033
