item_code,item_name,brand,revenue,qty,n_invoices,asp,contribution_pct,cum_contribution_pct,rank,abc_class,cov,xyz_class
13,سجق شرقى 3 ك ابو هاشم كيس 3,ابوهاشم,8270412.2,24907.0,640,332.0517203998876,14.361,14.361,1,A,0.2673233267650025,X
101,كفته الهنا 800 جرام,الهنا,8264297.59,175454.0,1437,47.10236067573267,14.35,28.711,2,A,0.24235718067958428,X
120,برجر الهنا 900 جرام,الهنا,6827629.9,137475.0,1147,49.66452009456265,11.856,40.567,3,A,0.23751471736007174,X
102,كفته الهنا 350,الهنا,4546806.495,226780.0,1495,20.049415711262018,7.895,48.462,4,A,0.32559716794162796,X
346,بانيه 800 جرام,الهنا,3829041.7,74630.5,765,51.30666014565091,6.649,55.111,5,A,0.2405113877749355,X
104,برجر الهنا 400 جرام,الهنا,3017934.1,123483.0,1036,24.440077581529444,5.24,60.351,6,A,0.2781576159825051,X
108,سجق الهنا 350,الهنا,2359082.63,90760.0,701,25.99253669017188,4.096,64.447,7,A,0.2696616955531189,X
404,برجر اسبشيال عائلى,اسبشيال,2269553.08,38243.0,330,59.345581675077796,3.941,68.388,8,A,0.3541110892675242,X
402,كفته اسبيشيال عائلى,اسبشيال,2206626.18,39302.0,276,56.145391583125544,3.832,72.22,9,A,0.5280851239810052,Y
257,سجق الهنا 5 كيلو,الهنا,1737275.0,5609.0,441,309.7298983776074,3.017,75.237,10,A,0.308206332524713,X
99,سجق الهنا 800 جرام,الهنا,1453315.09,27488.0,265,52.870892389406286,2.524,77.761,11,A,0.33022783900585884,X
2,كبده اسكندرانى 400,ابوهاشم,1130564.0,16161.0,515,69.95631458449354,1.963,79.724,12,A,0.29221551675084323,X
398,بانيه 900 جرام اسباشيل,اسبشيال,1054249.5,18353.0,223,57.44289761891789,1.831,81.555,13,B,0.6336219159806047,Y
1,مفروم صافى 400 جم,ابوهاشم,1017098.2,12498.0,359,81.38087694031044,1.766,83.321,14,B,0.23645697357709491,X
