month,revenue,invoices,avg_invoice_value,mom_growth_pct,yoy_growth_pct
2025-01,2928292.96,320,9150.9155,,
2025-02,2152970.97,256,8410.0428515625,-26.48,
2025-03,3326914.495,322,10332.032593167702,54.53,
2025-04,2442991.52,244,10012.260327868853,-26.57,
2025-05,3163361.15,277,11420.076353790613,29.49,
2025-06,2116277.735,184,11501.509429347825,-33.1,
2025-07,2642056.17,227,11639.013964757709,24.84,
2025-08,3042711.98,283,10751.632438162544,15.16,
2025-09,3873847.08,314,12337.092611464968,27.32,
2025-10,3711622.74,319,11635.181003134798,-4.19,
2025-11,3032455.14,250,12129.82056,-18.3,
2025-12,3173527.23,260,12205.873961538462,4.65,
2026-01,2678931.71,266,10071.171842105263,-15.59,-8.52
2026-02,3465996.21,270,12837.023,29.38,60.99
2026-03,3313076.35,231,14342.321861471863,-4.41,-0.42
2026-04,4492997.3,287,15655.042857142857,35.61,83.91
2026-05,4164840.63,281,14821.49690391459,-7.3,31.66
2026-06,3867490.79,311,12435.661704180064,-7.14,82.75
