month,item_code,item_name,asp
2025-01,1,مفروم صافى 400 جم,76.94895591647332
2025-01,10,مفروم صويا 400 جم,55.111111111111114
2025-01,101,كفته الهنا 800 جرام,46.102233157305186
2025-01,102,كفته الهنا 350,18.44330426280798
2025-01,104,برجر الهنا 400 جرام,23.766914278314918
2025-01,105,سجق الهنا 3 كيلو,191.14285714285714
2025-01,107,سجق 800 ابو هاشم,91.39303482587064
2025-01,108,سجق الهنا 350,24.91782178217822
2025-01,114,كفته ابو هاشم 800,88.73949579831933
2025-01,12,مفروم 3 كيلو كيس 3,600.0
2025-01,120,برجر الهنا 900 جرام,48.21401207172023
2025-01,13,سجق شرقى 3 ك ابو هاشم كيس 3,317.9150197628459
2025-01,16,كرتونه كبده امريكى,170.0
2025-01,190,صميد,14.5
2025-01,2,كبده اسكندرانى 400,67.52579034941763
2025-01,255,برجر ابو هاشم جامبو 1.5 كيلو,167.93991416309012
2025-01,257,سجق الهنا 5 كيلو,292.7659574468085
2025-01,258,كبده 3 كيلو كيس 3,519.5652173913044
2025-01,261,كتف هندى,190.0
2025-01,270,برجر اسبشيال,60.0
2025-01,292,عجينه سجق 5 كيلو الهنا,200.0
2025-01,316,موزه,249.99999999999997
2025-01,33,كيلو مفروم هندى,200.0
2025-01,346,بانيه 800 جرام,49.96301538461538
2025-01,356,برجر اسبشيال مخصوص 1 ك,120.0
2025-01,373,عرض مصنعات الهنا كبير,70.0
2025-01,44,برجر ابو هاشم 600 جرام,65.0
2025-01,6,برجر 400 جم ابو هاشم,44.936708860759495
2025-01,7,سجق 350 جم ابو هاشم,44.5
2025-01,8,كفته 350 جم ابو هاشم,39.894366197183096
2025-01,87,جلتومات الصوديوم,75.0
2025-01,99,سجق الهنا 800 جرام,51.318748819641165
2025-02,1,مفروم صافى 400 جم,77.99755799755799
2025-02,10,مفروم صويا 400 جم,55.08740204942737
2025-02,101,كفته الهنا 800 جرام,43.9407994955864
2025-02,102,كفته الهنا 350,21.29963129251701
2025-02,104,برجر الهنا 400 جرام,22.17696787901512
2025-02,107,سجق 800 ابو هاشم,90.97426470588235
2025-02,108,سجق الهنا 350,24.794969884421292
2025-02,109,برجر ابو هاشم 1 ك,95.0
2025-02,114,كفته ابو هاشم 800,88.28267477203647
2025-02,12,مفروم 3 كيلو كيس 3,600.0
2025-02,120,برجر الهنا 900 جرام,47.961771679765555
2025-02,13,سجق شرقى 3 ك ابو هاشم كيس 3,317.5795297372061
2025-02,2,كبده اسكندرانى 400,66.98507462686567
2025-02,255,برجر ابو هاشم جامبو 1.5 كيلو,166.79090909090908
2025-02,257,سجق الهنا 5 كيلو,293.986013986014
2025-02,262,بانيه 900 جرام,53.79032258064516
2025-02,270,برجر اسبشيال,55.0
2025-02,292,عجينه سجق 5 كيلو الهنا,200.0
2025-02,33,كيلو مفروم هندى,200.0
2025-02,346,بانيه 800 جرام,49.0144157814871
2025-02,356,برجر اسبشيال مخصوص 1 ك,120.0
2025-02,373,عرض مصنعات الهنا كبير,70.0
2025-02,378,مفروم صويا 3 كيلو,435.54545454545456
2025-02,379,بكرة لزق شفاف,25.0
2025-02,382,كيلو سجق مخصوص,180.0
2025-02,383,كيلو عجينة سجق مخصوص,150.0
2025-02,385,برجر مخصوص 600 جرام,100.0
2025-02,387,عجينة سجق بقرى 5 ك اسبشيال,385.0
2025-02,44,برجر ابو هاشم 600 جرام,65.0
2025-02,6,برجر 400 جم ابو هاشم,43.719714964370546
2025-02,7,سجق 350 جم ابو هاشم,42.90736842105263
2025-02,8,كفته 350 جم ابو هاشم,37.87062404870624
2025-02,99,سجق الهنا 800 جرام,50.31696113074205
2025-03,1,مفروم صافى 400 جم,77.46822033898304
2025-03,10,مفروم صويا 400 جم,55.13364413364413
2025-03,101,كفته الهنا 800 جرام,44.91571278163824
2025-03,102,كفته الهنا 350,18.956881117211744
2025-03,104,برجر الهنا 400 جرام,23.728549622684657
2025-03,107,سجق 800 ابو هاشم,89.75708502024291
2025-03,108,سجق الهنا 350,24.987941881366087
2025-03,109,برجر ابو هاشم 1 ك,97.5
2025-03,11,شاورما 400 جم,91.4
2025-03,11111,كفته حاتي سيخ,40.0
2025-03,114,كفته ابو هاشم 800,88.53658536585365
2025-03,12,مفروم 3 كيلو كيس 3,600.0
2025-03,120,برجر الهنا 900 جرام,48.44076954232483
2025-03,13,سجق شرقى 3 ك ابو هاشم كيس 3,318.7508486082824
2025-03,2,كبده اسكندرانى 400,66.75675675675676
2025-03,20,كيلو اسكندرانى,170.0
2025-03,21,كيلو سجق,100.0
2025-03,255,برجر ابو هاشم جامبو 1.5 كيلو,167.40625
2025-03,257,سجق الهنا 5 كيلو,296.2962962962963
2025-03,258,كبده 3 كيلو كيس 3,510.0
2025-03,262,بانيه 900 جرام,53.95126705653021
2025-03,270,برجر اسبشيال,55.0
2025-03,292,عجينه سجق 5 كيلو الهنا,200.0
2025-03,296,عجينه كفته,200.0
2025-03,319,عجينه حواوشي,240.0
2025-03,33,كيلو مفروم هندى,202.29885057471265
2025-03,346,بانيه 800 جرام,48.07397346149828
2025-03,382,كيلو سجق مخصوص,180.0
2025-03,383,كيلو عجينة سجق مخصوص,150.0
2025-03,385,برجر مخصوص 600 جرام,100.0
2025-03,43,بفتيك 400 جم,91.1219512195122
2025-03,44,برجر ابو هاشم 600 جرام,65.0
2025-03,6,برجر 400 جم ابو هاشم,44.621848739495796
2025-03,7,سجق 350 جم ابو هاشم,44.28312159709619
2025-03,8,كفته 350 جم ابو هاشم,39.56611570247934
2025-03,96,عرض مصنعات,55.0
2025-03,99,سجق الهنا 800 جرام,50.66333333333333
2025-04,1,مفروم صافى 400 جم,77.09375
2025-04,10,مفروم صويا 400 جم,64.67625899280576
2025-04,101,كفته الهنا 800 جرام,45.62737771371948
2025-04,102,كفته الهنا 350,20.19713615023474
2025-04,104,برجر الهنا 400 جرام,23.937535981577433
2025-04,107,سجق 800 ابو هاشم,90.93360995850622
2025-04,108,سجق الهنا 350,25.133509234828495
2025-04,109,برجر ابو هاشم 1 ك,100.0
2025-04,114,كفته ابو هاشم 800,88.27319587628865
2025-04,120,برجر الهنا 900 جرام,47.827549295774645
2025-04,13,سجق شرقى 3 ك ابو هاشم كيس 3,317.5112107623318
2025-04,15,تشكيله برازيلى,284.99999999999994
2025-04,2,كبده اسكندرانى 400,66.51673944687045
2025-04,255,برجر ابو هاشم جامبو 1.5 كيلو,167.85714285714286
2025-04,257,سجق الهنا 5 كيلو,292.56965944272446
2025-04,258,كبده 3 كيلو كيس 3,540.0
2025-04,262,بانيه 900 جرام,54.62686567164179
2025-04,292,عجينه سجق 5 كيلو الهنا,200.0
2025-04,316,موزه,274.0
2025-04,319,عجينه حواوشي,240.0
2025-04,33,كيلو مفروم هندى,201.9047619047619
2025-04,346,بانيه 800 جرام,49.00777751590856
2025-04,44,برجر ابو هاشم 600 جرام,65.0
2025-04,6,برجر 400 جم ابو هاشم,44.49850746268657
2025-04,7,سجق 350 جم ابو هاشم,43.710997442455245
2025-04,8,كفته 350 جم ابو هاشم,39.60493827160494
2025-04,80,برجر 1200 جم,140.0
2025-04,96,عرض مصنعات,55.0
2025-04,99,سجق الهنا 800 جرام,50.902924120913006
2025-05,1,مفروم صافى 400 جم,77.57879656160459
2025-05,10,مفروم صويا 400 جم,64.48898071625344
2025-05,101,كفته الهنا 800 جرام,45.8165591171834
2025-05,102,كفته الهنا 350,19.942422020708726
2025-05,104,برجر الهنا 400 جرام,23.95989872760322
2025-05,107,سجق 800 ابو هاشم,87.92553191489361
2025-05,108,سجق الهنا 350,25.235580595874712
2025-05,109,برجر ابو هاشم 1 ك,100.0
2025-05,114,كفته ابو هاشم 800,89.9034749034749
2025-05,120,برجر الهنا 900 جرام,46.87017353579176
2025-05,13,سجق شرقى 3 ك ابو هاشم كيس 3,318.2798833819242
2025-05,2,كبده اسكندرانى 400,66.59468723221937
2025-05,20,كيلو اسكندرانى,170.0
2025-05,21,كيلو سجق,100.0
2025-05,255,برجر ابو هاشم جامبو 1.5 كيلو,167.0731707317073
2025-05,257,سجق الهنا 5 كيلو,291.2267657992565
2025-05,258,كبده 3 كيلو كيس 3,540.0
2025-05,262,بانيه 900 جرام,54.54472415640064
2025-05,270,برجر اسبشيال,43.333333333333336
2025-05,292,عجينه سجق 5 كيلو الهنا,200.0
2025-05,316,موزه,280.0
2025-05,33,كيلو مفروم هندى,206.42857142857142
2025-05,346,بانيه 800 جرام,49.547935368043085
2025-05,397,بانيه 800 جرام اسباشيل,49.86486486486486
2025-05,398,بانيه 900 جرام اسباشيل,54.326530612244895
2025-05,399,كفته اسبيشيال صغير,22.822850146914792
2025-05,402,كفته اسبيشيال عائلى,52.67307692307692
2025-05,403,برجر اسبشيال صغير,24.867061356297093
2025-05,404,برجر اسبشيال عائلى,56.85550259965338
2025-05,405,سجق اسبيشيال صغير,36.3757421875
2025-05,406,سجق اسبيشيال عائلى,60.71377049180328
2025-05,44,برجر ابو هاشم 600 جرام,65.0
2025-05,6,برجر 400 جم ابو هاشم,44.247252747252745
2025-05,7,سجق 350 جم ابو هاشم,42.720588235294116
2025-05,8,كفته 350 جم ابو هاشم,39.04633204633205
2025-05,80,برجر 1200 جم,140.0
2025-05,96,عرض مصنعات,55.0
2025-05,99,سجق الهنا 800 جرام,50.98490066225165
2025-06,1,مفروم صافى 400 جم,78.26696832579185
2025-06,10,مفروم صويا 400 جم,65.0
2025-06,101,كفته الهنا 800 جرام,45.231948983658825
2025-06,102,كفته الهنا 350,19.200585069444443
2025-06,104,برجر الهنا 400 جرام,24.01476936658574
2025-06,107,سجق 800 ابو هاشم,92.12418300653594
2025-06,108,سجق الهنا 350,25.218090452261308
2025-06,109,برجر ابو هاشم 1 ك,100.0
2025-06,114,كفته ابو هاشم 800,88.59712230215827
2025-06,120,برجر الهنا 900 جرام,48.12691102858065
2025-06,13,سجق شرقى 3 ك ابو هاشم كيس 3,318.2778581765557
2025-06,2,كبده اسكندرانى 400,66.58592471358429
2025-06,20,كيلو اسكندرانى,170.0
2025-06,255,برجر ابو هاشم جامبو 1.5 كيلو,169.0677966101695
2025-06,257,سجق الهنا 5 كيلو,296.0352422907489
2025-06,258,كبده 3 كيلو كيس 3,515.0
2025-06,262,بانيه 900 جرام,54.20843520782396
2025-06,292,عجينه سجق 5 كيلو الهنا,200.0
2025-06,33,كيلو مفروم هندى,201.1764705882353
2025-06,346,بانيه 800 جرام,50.0484076433121
2025-06,356,برجر اسبشيال مخصوص 1 ك,170.0
2025-06,386,سجق اسباشيل 1 كيلو,170.0
2025-06,397,بانيه 800 جرام اسباشيل,50.0
2025-06,398,بانيه 900 جرام اسباشيل,54.987046632124354
2025-06,399,كفته اسبيشيال صغير,23.286290322580644
2025-06,402,كفته اسبيشيال عائلى,52.9125
2025-06,403,برجر اسبشيال صغير,25.419303797468356
2025-06,404,برجر اسبشيال عائلى,57.14814177563662
2025-06,405,سجق اسبيشيال صغير,0.0
2025-06,406,سجق اسبيشيال عائلى,60.697916666666664
2025-06,44,برجر ابو هاشم 600 جرام,65.0
2025-06,6,برجر 400 جم ابو هاشم,43.82513661202186
2025-06,7,سجق 350 جم ابو هاشم,43.524647887323944
2025-06,8,كفته 350 جم ابو هاشم,38.849624060150376
2025-06,80,برجر 1200 جم,140.0
2025-06,96,عرض مصنعات,55.0
2025-06,99,سجق الهنا 800 جرام,51.27333333333333
2025-07,1,مفروم صافى 400 جم,77.99729364005412
2025-07,10,مفروم صويا 400 جم,65.96035901271503
2025-07,101,كفته الهنا 800 جرام,45.95052556615867
2025-07,102,كفته الهنا 350,20.081954956134606
2025-07,104,برجر الهنا 400 جرام,23.872844465203176
2025-07,107,سجق 800 ابو هاشم,89.58333333333333
2025-07,108,سجق الهنا 350,25.133333333333333
2025-07,109,برجر ابو هاشم 1 ك,99.62121212121212
2025-07,114,كفته ابو هاشم 800,88.62654320987654
2025-07,120,برجر الهنا 900 جرام,48.392824882829146
2025-07,13,سجق شرقى 3 ك ابو هاشم كيس 3,318.46378931967814
2025-07,2,كبده اسكندرانى 400,66.30298913043478
2025-07,20,كيلو اسكندرانى,170.0
2025-07,255,برجر ابو هاشم جامبو 1.5 كيلو,168.3
2025-07,257,سجق الهنا 5 كيلو,290.2439024390244
2025-07,258,كبده 3 كيلو كيس 3,528.0
2025-07,262,بانيه 900 جرام,54.583333333333336
2025-07,292,عجينه سجق 5 كيلو الهنا,200.0
2025-07,33,كيلو مفروم هندى,206.07843137254903
2025-07,346,بانيه 800 جرام,49.97387755102041
2025-07,356,برجر اسبشيال مخصوص 1 ك,170.0
2025-07,382,كيلو سجق مخصوص,170.0
2025-07,386,سجق اسباشيل 1 كيلو,170.0
2025-07,387,عجينة سجق بقرى 5 ك اسبشيال,370.0
2025-07,397,بانيه 800 جرام اسباشيل,49.93270524899058
2025-07,398,بانيه 900 جرام اسباشيل,55.00697906281157
2025-07,399,كفته اسبيشيال صغير,22.66288709677419
2025-07,402,كفته اسبيشيال عائلى,52.72486288848263
2025-07,403,برجر اسبشيال صغير,24.84412780656304
2025-07,404,برجر اسبشيال عائلى,57.00586552217454
2025-07,405,سجق اسبيشيال صغير,36.19189368770765
2025-07,406,سجق اسبيشيال عائلى,60.697916666666664
2025-07,416,عجينة سجق اسبشيال نصف كيلو,11.666666666666666
2025-07,417,كيلو كفته مخصوص 2,170.0
2025-07,44,برجر ابو هاشم 600 جرام,65.0
2025-07,6,برجر 400 جم ابو هاشم,39.49367088607595
