invoice_no,line_no,item_code,item_name,unit,qty,unit_price_field,pct1,pct2,line_total,source_file
A265,1,13,سجق شرقى 3 ك ابو هاشم,كيس 3 كيلو,40,310.00,0.00,0,12400,فواتير المبيعات من 112025 الى 3152026.md
A73,1,102,كفته الهنا 350,طبق,600,27.50,0.00,15,14025.0,فواتير المبيعات من 112025 الى 3152026.md
A73,2,104,برجر الهنا 400 جرام,طبق,600,28.50,0.00,15,14535.00,فواتير المبيعات من 112025 الى 3152026.md
A73,3,108,سجق الهنا 350,طبق,600,30.00,0.00,15,15300.00,فواتير المبيعات من 112025 الى 3152026.md
b1760,1,102,كفته الهنا 350,طبق,75,0.00,0.00,0.00,0,فواتير المبيعات من 112025 الى 3152026.md
10000,1,102,كفته الهنا 350,طبق,300,27.50,0.00,17,6847.50,فواتير المبيعات من 112025 الى 3152026.md
10000,2,104,برجر الهنا 400 جرام,طبق,105,28.50,0.00,17,2483.78,فواتير المبيعات من 112025 الى 3152026.md
10000,3,101,كفته الهنا 800 جرام,طبق,120,56.00,0.00,17,5577.60,فواتير المبيعات من 112025 الى 3152026.md
10000,4,120,برجر الهنا 900 جرام,طبق,156,58.50,0.00,17,7574.58,فواتير المبيعات من 112025 الى 3152026.md
11010,1,102,كفته الهنا 350,طبق,45,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
11020,1,102,كفته الهنا 350,طبق,45,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
11030,1,379,بكرة لزق شفاف,طبق,1,25.00,0.00,0,25,فواتير المبيعات من 112025 الى 3152026.md
11040,1,10,مفروم صويا 400 جم,طبق,160,55.00,0.00,0,8800,فواتير المبيعات من 112025 الى 3152026.md
11040,2,108,سجق الهنا 350,طبق,450,30.00,0.00,25,10125.00,فواتير المبيعات من 112025 الى 3152026.md
11040,3,102,كفته الهنا 350,طبق,750,27.50,0.00,25,15468.75,فواتير المبيعات من 112025 الى 3152026.md
11040,4,104,برجر الهنا 400 جرام,طبق,450,28.50,0.00,25,9618.75,فواتير المبيعات من 112025 الى 3152026.md
11060,1,13,سجق شرقى 3 ك ابو هاشم,كيس 3 كيلو,50,310.00,0.00,0,15500,فواتير المبيعات من 112025 الى 3152026.md
11070,1,6,برجر 400 جم ابو هاشم,طبق,10,31.00,0.00,0,310,فواتير المبيعات من 112025 الى 3152026.md
11070,2,1,مفروم صافى 400 جم,طبق,14,65.00,0.00,0,910,فواتير المبيعات من 112025 الى 3152026.md
11080,1,102,كفته الهنا 350,طبق,75,27.50,0.00,17.00,1711.88,فواتير المبيعات من 112025 الى 3152026.md
11080,2,104,برجر الهنا 400 جرام,طبق,75,28.50,0.00,17.00,1774.12,فواتير المبيعات من 112025 الى 3152026.md
11080,3,120,برجر الهنا 900 جرام,طبق,12,58.50,0.00,17.00,582.66,فواتير المبيعات من 112025 الى 3152026.md
11080,4,101,كفته الهنا 800 جرام,طبق,12,56.00,0.00,17.00,557.76,فواتير المبيعات من 112025 الى 3152026.md
