item_code,item_name,units_per_carton,pack_type,match_score
1,مفروم صافى 400 جم,20.0,علبة,1.0
10,مفروم صويا 400 جم,28.0,علبة,1.0
101,كفته الهنا 800 جرام,12.0,كيس,1.0
102,كفته الهنا 350,15.0,كيس,1.0
104,برجر الهنا 400 جرام,15.0,كيس,1.0
105,سجق الهنا 3 كيلو,2.0,كيس,0.923
107,سجق 800 ابو هاشم,16.0,كيس,1.0
108,سجق الهنا 350,15.0,كيس,1.0
109,برجر ابو هاشم 1 ك,12.0,كيس,1.0
11,شاورما 400 جم,20.0,كيس,1.0
1111,برجر 800 ابوهاشم,16.0,كيس,1.0
11111,كفته حاتي سيخ,,,0.538
114,كفته ابو هاشم 800,16.0,كيس,1.0
12,مفروم 3 كيلو كيس 3,4.0,كيس,0.833
120,برجر الهنا 900 جرام,12.0,كيس,1.0
13,سجق شرقى 3 ك ابو هاشم كيس 3,4.0,كيس,0.833
14,تشكيله هندى امامى,,,0.387
15,تشكيله برازيلى,,,0.429
16,كرتونه كبده امريكى,,,0.48
18,كيلو برجر,,,0.471
19,كيلو قطع ه,,,0.471
190,صميد,,,0.286
2,كبده اسكندرانى 400,20.0,علبة,1.0
20,كيلو اسكندرانى,,,0.69
21,كيلو سجق,,,0.5
23,كيلو كفته,,,0.471
255,برجر ابو هاشم جامبو 1.5 كيلو,9.0,كيس,0.978
257,سجق الهنا 5 كيلو,2.0,كيس,1.0
258,كبده 3 كيلو كيس 3,4.0,كيس,0.818
261,كتف هندى,,,0.435
262,بانيه 900 جرام,10.0,كيس,1.0
27,مفروم صويا 350 جم,28.0,علبة,0.857
270,برجر اسبشيال,15.0,كيس,0.846
292,عجينه سجق 5 كيلو الهنا,3.0,كيس,1.0
296,عجينه كفته,,,0.6
299,جلد فراخ,,,0.364
316,موزه,,,0.316
319,عجينه حواوشي,,,0.545
33,كيلو مفروم هندى,,,0.522
346,بانيه 800 جرام,12.0,كيس,1.0
356,برجر اسبشيال مخصوص 1 ك,,,0.727
359,ام اكس,,,0.375
370,مفروم فراخ A,,,0.5
373,عرض مصنعات الهنا كبير,,,0.452
378,مفروم صويا 3 كيلو,4.0,كيس,0.833
379,بكرة لزق شفاف,,,0.348
382,كيلو سجق مخصوص,,,0.381
383,كيلو عجينة سجق مخصوص,,,0.514
385,برجر مخصوص 600 جرام,,,0.706
386,سجق اسباشيل 1 كيلو,,,0.741
387,عجينة سجق بقرى 5 ك اسبشيال,,,0.688
388,عجينة كفته الهنا خام,,,0.667
397,بانيه 800 جرام اسباشيل,12.0,كيس,1.0
398,بانيه 900 جرام اسباشيل,10.0,كيس,1.0
399,كفته اسبيشيال صغير,15.0,كيس,0.968
402,كفته اسبيشيال عائلى,12.0,كيس,0.909
403,برجر اسبشيال صغير,15.0,كيس,1.0
404,برجر اسبشيال عائلى,12.0,كيس,0.938
405,سجق اسبيشيال صغير,15.0,كيس,0.966
406,سجق اسبيشيال عائلى,12.0,كيس,0.903
416,عجينة سجق اسبشيال نصف كيلو,,,0.667
417,كيلو كفته مخصوص 2,,,0.4
418,كيلو كفته مخصوص 1,,,0.4
419,عجينة سجق اسباشيل بقرى 250 جرام,,,0.541
420,برجر الهنا 800 جرام,12.0,كيس,1.0
421,برجر ابو هاشم 1 ك,12.0,كيس,1.0
422,بانيه 700 جرام,12.0,كيس,1.0
423,سجق اسبشيال 5 ك,2.0,كيس,1.0
43,بفتيك 400 جم,20.0,كيس,1.0
432,بفتيك 600 جرام,20.0,كيس,0.818
433,عجينة بقرى 1 ك,3.0,كيس,0.909
435,عجينة بقرى 5 ك,3.0,كيس,1.0
436,عجينة بقرى 500 جرام,,,0.741
439,استربس الهنا 800 جرام,,,0.788
44,برجر ابو هاشم 600 جرام,20.0,كيس,1.0
440,استربس الهنا 1 كيلو,,,0.69
441,استريس اسبشيال 900 جرام,,,0.562
447,استربس الهنا 900 جرام,,,0.765
6,برجر 400 جم ابو هاشم,20.0,كيس,1.0
7,سجق 350 جم ابو هاشم,20.0,كيس,1.0
71,طبق ممبار,,,0.348
8,كفته 350 جم ابو هاشم,20.0,كيس,1.0
80,برجر 1200 جم,11.0,كيس,1.0
86,كيلو كفته مخصوص 1,,,0.4
87,جلتومات الصوديوم,,,0.414
96,عرض مصنعات,,,0.348
99,سجق الهنا 800 جرام,12.0,كيس,1.0
