item_code,item_name,brand,match_method,match_score,units_per_carton,pack_type
1,مفروم صافى 400 جم,ابوهاشم,fuzzy_match_brand_pdf,1.0,20.0,علبة
2,كبده اسكندرانى 400,ابوهاشم,fuzzy_match_brand_pdf,1.0,20.0,علبة
6,برجر 400 جم ابو هاشم,ابوهاشم,keyword_in_name,1.0,20.0,كيس
7,سجق 350 جم ابو هاشم,ابوهاشم,keyword_in_name,1.0,20.0,كيس
8,كفته 350 جم ابو هاشم,ابوهاشم,keyword_in_name,1.0,20.0,كيس
10,مفروم صويا 400 جم,ابوهاشم,fuzzy_match_brand_pdf,1.0,28.0,علبة
11,شاورما 400 جم,ابوهاشم,fuzzy_match_brand_pdf,1.0,20.0,كيس
12,مفروم 3 كيلو كيس 3,ابوهاشم,fuzzy_match_brand_pdf,0.833,4.0,كيس
13,سجق شرقى 3 ك ابو هاشم كيس 3,ابوهاشم,keyword_in_name,1.0,4.0,كيس
14,تشكيله هندى امامى,ابوهاشم,fuzzy_match_brand_pdf,0.933,,
15,تشكيله برازيلى,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),unclassified,0.571,,
16,كرتونه كبده امريكى,ابوهاشم,fuzzy_match_brand_pdf,0.938,,
18,كيلو برجر,ابوهاشم,fuzzy_match_brand_pdf,1.0,,
19,كيلو قطع ه,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),unclassified,0.667,,
20,كيلو اسكندرانى,ابوهاشم,fuzzy_match_brand_pdf,1.0,,
21,كيلو سجق,ابوهاشم,fuzzy_match_brand_pdf,1.0,,
23,كيلو كفته,ابوهاشم,fuzzy_match_brand_pdf,1.0,,
27,مفروم صويا 350 جم,ابوهاشم,fuzzy_match_brand_pdf,1.0,28.0,علبة
33,كيلو مفروم هندى,ابوهاشم,fuzzy_match_brand_pdf,1.0,,
43,بفتيك 400 جم,ابوهاشم,fuzzy_match_brand_pdf,1.0,20.0,كيس
44,برجر ابو هاشم 600 جرام,ابوهاشم,keyword_in_name,1.0,20.0,كيس
71,طبق ممبار,ابوهاشم,fuzzy_match_brand_pdf,1.0,,
80,برجر 1200 جم,ابوهاشم,fuzzy_match_brand_pdf,1.0,11.0,كيس
86,كيلو كفته مخصوص 1,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),unclassified,0.727,,
87,جلتومات الصوديوم,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),unclassified,0.429,,
96,عرض مصنعات,الهنا,fuzzy_match_brand_pdf,1.0,,
99,سجق الهنا 800 جرام,الهنا,keyword_in_name,1.0,12.0,كيس
101,كفته الهنا 800 جرام,الهنا,keyword_in_name,1.0,12.0,كيس
102,كفته الهنا 350,الهنا,keyword_in_name,1.0,15.0,كيس
104,برجر الهنا 400 جرام,الهنا,keyword_in_name,1.0,15.0,كيس
105,سجق الهنا 3 كيلو,الهنا,keyword_in_name,1.0,2.0,كيس
107,سجق 800 ابو هاشم,ابوهاشم,keyword_in_name,1.0,16.0,كيس
108,سجق الهنا 350,الهنا,keyword_in_name,1.0,15.0,كيس
109,برجر ابو هاشم 1 ك,ابوهاشم,keyword_in_name,1.0,12.0,كيس
114,كفته ابو هاشم 800,ابوهاشم,keyword_in_name,1.0,16.0,كيس
120,برجر الهنا 900 جرام,الهنا,keyword_in_name,1.0,12.0,كيس
