item_code,item_name,brand,total_qty,paid_qty,paid_value,avg_selling_price,line_count
13,سجق شرقى 3 ك ابو هاشم,ابوهاشم,1607.0,1607.0,602275.0,374.78220286247665,41
101,كفته الهنا 800 جرام,الهنا,5628.0,5376.0,486138.6,90.42756696428572,63
120,برجر الهنا 900 جرام,الهنا,4740.0,4644.0,383628.0,82.60723514211887,45
402,كفته اسبيشيال عائلى,اسبشيال,3094.0,2694.0,258560.61,95.97646993318484,47
404,برجر اسبشيال عائلى,اسبشيال,3738.0,3674.0,250080.9,68.06774632553075,60
346,بانيه 800 جرام,ابوهاشم,3412.0,3412.0,194466.0,56.9947245017585,47
102,كفته الهنا 350,الهنا,8670.0,6420.0,174624.0,27.2,62
398,بانيه 900 جرام اسباشيل,اسبشيال,2500.0,2500.0,155198.0,62.0792,29
439,استربس الهنا 800 جرام,الهنا,935.0,934.0,140100.0,150.0,26
104,برجر الهنا 400 جرام,الهنا,4635.0,4590.0,132651.0,28.9,39
257,سجق الهنا 5 كيلو,الهنا,358.0,358.0,132485.0,370.0698324022346,33
108,سجق الهنا 350,الهنا,3375.0,3375.0,103275.0,30.6,24
403,برجر اسبشيال صغير,اسبشيال,3287.0,3150.0,96437.2,30.614984126984126,33
399,كفته اسبيشيال صغير,اسبشيال,2344.0,1965.0,93758.38,47.7141882951654,37
435,عجينة بقرى 5 ك,ابوهاشم,166.0,166.0,75850.0,456.9277108433735,20
1,مفروم صافى 400 جم,ابوهاشم,647.0,647.0,62412.0,96.46367851622875,16
441,استريس اسبشيال 900 جرام,اسبشيال,374.0,374.0,61560.0,164.59893048128342,19
2,كبده اسكندرانى 400,ابوهاشم,797.0,797.0,60605.0,76.04140526976161,26
80,برجر 1200 جم,ابوهاشم,395.0,395.0,59143.5,149.73037974683544,3
99,سجق الهنا 800 جرام,الهنا,937.0,937.0,58148.8,62.05848452508005,12
255,برجر ابو هاشم جامبو 1.5 كيلو,ابوهاشم,252.0,251.0,45430.0,180.996015936255,14
107,سجق 800 ابو هاشم,ابوهاشم,353.0,353.0,40345.2,114.29235127478752,12
405,سجق اسبيشيال صغير,اسبشيال,1218.0,1185.0,39370.5,33.22405063291139,17
406,سجق اسبيشيال عائلى,اسبشيال,456.0,456.0,32558.399999999998,71.39999999999999,4
420,برجر الهنا 800 جرام,الهنا,588.0,528.0,27376.8,51.85,8
421,برجر ابو هاشم 1 ك,ابوهاشم,219.0,219.0,26462.2,120.83196347031964,10
114,كفته ابو هاشم 800,ابوهاشم,242.0,240.0,24743.6,103.09833333333333,15
292,عجينه سجق 5 كيلو الهنا,الهنا,73.0,73.0,16790.0,230.0,4
7,سجق 350 جم ابو هاشم,ابوهاشم,181.0,180.0,9443.5,52.46388888888889,9
33,كيلو مفروم هندى,ابوهاشم,34.5,34.5,9131.0,264.6666666666667,11
8,كفته 350 جم ابو هاشم,ابوهاشم,142.0,142.0,7107.6,50.053521126760565,6
447,استربس الهنا 900 جرام,الهنا,45.0,45.0,6975.0,155.0,7
440,استربس الهنا 1 كيلو,الهنا,3.0,3.0,360.0,120.0,1
