item_code,item_name,brand,carton_capacity,match_type,master_name_matched,total_revenue,total_qty,n_lines
13,سجق شرقى 3 ك ابو هاشم كيس 3 كيلو,ابوهاشم,4 كيس,master_list_fuzzy,سجق شرق 3 ك أبو هاشم,9802282.2,29000.0,736
101,كفته الهنا 800 جرام طبق,الهنا,12 كيس,master_list,كفته الهنا 800 جرام,9255151.89,194577.0,1567
120,برجر الهنا 900 جرام طبق,الهنا,12 كيس,master_list,برجر الهنا 900 جرام,7478965.9,148695.0,1236
102,كفته الهنا 350 طبق,الهنا,15 كيس,master_list,كفته الهنا 350,5006798.495,247547.0,1624
346,بانيه 800 جرام طبق,الهنا,12 كيس,master_list,بانيه 800 جرام,4041523.7,78480.5,820
104,برجر الهنا 400 جرام طبق,الهنا,15 كيس,master_list,برجر الهنا 400 جرام,3332655.1,134658.0,1128
402,كفته اسبيشيال عائلى طبق,اسبشيال,12 كيس,master_list_fuzzy,كفته اسبشيال عائلى,2842115.58,49882.0,358
404,برجر اسبشيال عائلى طبق,اسبشيال,12 كيس,master_list,برجر اسبشيال عائلى,2832686.08,46943.0,423
108,سجق الهنا 350 طبق,الهنا,15 كيس,master_list,سجق الهنا 350,2597303.63,98545.0,768
257,سجق الهنا 5 كيلو طبق,الهنا,2 كيس,master_list,سجق الهنا 5 كيلو,2051035.0,6472.0,509
99,سجق الهنا 800 جرام طبق,الهنا,12 كيس,master_list,سجق الهنا 800 جرام,1625317.69,30260.0,283
398,بانيه 900 جرام اسباشيل كيس,اسبشيال,10 كيس,master_list,بانيه 900 جرام اسباشيل,1519021.5,26175.0,348
2,كبده اسكندرانى 400 طبق,ابوهاشم,20 علبة,master_list,كبدة اسكندرانى 400,1251963.0,17753.0,567
1,مفروم صافى 400 جم طبق,ابوهاشم,20 علبة,master_list_fuzzy,مفروم صاف 400 جم,1101680.8,13371.0,391
399,كفته اسبيشيال صغير طبق,اسبشيال,15 كيس,master_list_fuzzy,كفته اسبشيال صغير,997117.685,39566.0,306
403,برجر اسبشيال صغير طبق,اسبشيال,15 كيس,master_list,برجر اسبشيال صغير,863478.64,31685.0,290
10,مفروم صويا 400 جم طبق,ابوهاشم,28 علبة,master_list,مفروم صويا 400 جم,857007.0,13567.0,58
255,برجر ابو هاشم جامبو 1.5 كيلو طبق,ابوهاشم,9 كيس,master_list_fuzzy,برجر أبو هاشم جامبو 1.50 كيلو,745004.3,4362.0,311
