item_name_canonical,line_total,cum_revenue,cum_pct,rank,rank_pct,abc_class,cv_qty,xyz_class,brand
سجق شرقى 3 ك ابو هاشم كيس 3 كيلو,8270412.2,8270412.2,14.360757407676633,1,1.1627906976744187,A,0.26732332676500253,X,ابوهاشم
كفته الهنا 800 جرام طبق,8264297.59,16534709.79,28.710897396447283,2,2.3255813953488373,A,0.24235718067958426,X,الهنا
برجر الهنا 900 جرام طبق,6827629.9,23362339.689999998,40.56640523477479,3,3.488372093023256,A,0.2375147173600717,X,الهنا
كفته الهنا 350 طبق,4546806.495,27909146.185,48.46148754449854,4,4.651162790697675,A,0.32559716794162796,X,الهنا
بانيه 800 جرام طبق,3829041.7,31738187.884999998,55.11024187836085,5,5.813953488372093,A,0.24051138777493553,X,الهنا
برجر الهنا 400 جرام طبق,3017934.1,34756121.985,60.35058763554753,6,6.976744186046512,A,0.278157615982505,X,الهنا
سجق الهنا 350 طبق,2359082.63,37115204.615,64.44690261173382,7,8.13953488372093,A,0.2696616955531189,X,الهنا
برجر اسبشيال عائلى طبق,2269553.08,39384757.695,68.38775832938781,8,9.30232558139535,A,0.6789941900311101,Y,اسبشيال
كفته اسبيشيال عائلى طبق,2206626.18,41591383.875,72.2193476739199,9,10.465116279069768,A,0.8093497862841984,Y,اسبشيال
سجق الهنا 5 كيلو طبق,1737275.0,43328658.875,75.23595485408214,10,11.627906976744185,A,0.308206332524713,X,الهنا
سجق الهنا 800 جرام طبق,1453315.09,44781973.965,77.75949357738855,11,12.790697674418606,A,0.3302278390058589,X,الهنا
كبده اسكندرانى 400 طبق,1130564.0,45912537.965,79.72260677479998,12,13.953488372093023,A,0.2922155167508432,X,ابوهاشم
بانيه 900 جرام اسباشيل كيس,1054249.5,46966787.465,81.55320734833178,13,15.11627906976744,B,0.9000166726671711,Y,اسبشيال
مفروم صافى 400 جم طبق,1017098.2,47983885.66500001,83.3192983431657,14,16.27906976744186,B,0.23645697357709491,X,ابوهاشم
كفته اسبيشيال صغير طبق,765263.435,48749149.10000001,84.64810303599593,15,17.441860465116278,B,0.8815572572706779,Y,اسبشيال
مفروم صويا 400 جم طبق,729361.0,49478510.10000001,85.91456668137752,16,18.6046511627907,B,0.9936741306802984,Y,ابوهاشم
برجر اسبشيال صغير طبق,688531.09,50167041.19000001,87.11013320357979,17,19.767441860465116,B,0.7615522224215576,Y,اسبشيال
برجر ابو هاشم جامبو 1.5 كيلو طبق,678171.8,50845212.99000001,88.28771183751141,18,20.930232558139537,B,0.2597484323091218,X,ابوهاشم
كفته ابو هاشم 800 طبق,609705.57,51454918.56000001,89.34640559655756,19,22.093023255813954,B,0.27560730712253545,X,ابوهاشم
سجق 800 ابو هاشم طبق,609194.4,52064112.96000001,90.40421175917122,20,23.25581395348837,B,0.32001511979372466,X,ابوهاشم
بانيه 800 جرام اسباشيل كيس,519508.0,52583620.96000001,91.30628630865344,21,24.418604651162788,B,0.8895295288117305,Y,اسبشيال
عرض مصنعات طبق,502350.0,53085970.96000001,92.17856767858883,22,25.581395348837212,B,1.7453077668967876,Z,الهنا
برجر الهنا 800 جرام طبق,465852.84,53551823.80000001,92.98747531960305,23,26.744186046511626,B,0.9875786596614,Y,الهنا
برجر 1200 جم طبق,407901.5,53959725.30000001,93.69575615809951,24,27.906976744186046,B,1.0093325808437121,Z,ابوهاشم
بانيه 900 جرام طبق,384908.25,54344633.55000001,94.3641114793087,25,29.069767441860467,B,1.100830321150849,Z,الهنا
برجر ابو هاشم 600 جرام طبق,332405.0,54677038.55000001,94.94130007047696,26,30.23255813953488,B,0.9909866432937414,Y,ابوهاشم
سجق اسبيشيال عائلى طبق,326721.7,55003760.250000015,95.5086201701358,27,31.3953488372093,C,1.0564813267091007,Z,اسبشيال
سجق 350 جم ابو هاشم طبق,311563.5,55315323.750000015,96.04961954627169,28,32.55813953488372,C,0.37888838159123,X,ابوهاشم
سجق اسبيشيال صغير طبق,262639.19,55577962.94000001,96.50566666969544,29,33.72093023255814,C,1.0987168703431822,Z,اسبشيال
برجر ابو هاشم 1 ك طبق,234739.21,55812702.15000001,96.91326822175347,30,34.883720930232556,C,0.6209289679439461,Y,ابوهاشم
كفته 350 جم ابو هاشم طبق,218900.2,56031602.35000002,97.29336689067979,31,36.04651162790697,C,0.46700382752659403,X,ابوهاشم
عجينه سجق 5 كيلو الهنا طبق,217690.0,56249292.35000002,97.67136416632671,32,37.2093023255814,C,0.29308687367873437,X,الهنا
برجر 400 جم ابو هاشم طبق,157623.56,56406915.91000002,97.94506197632154,33,38.372093023255815,C,0.7243726403033526,Y,ابوهاشم
بانيه 700 جرام طبق,152282.0,56559197.91000002,98.20948469270752,34,39.53488372093023,C,0.9846237968586558,Y,الهنا
عجينة بقرى 5 ك,147906.0,56707103.91000002,98.46630891546388,35,40.69767441860465,C,2.9105636197870446,Z,ابوهاشم
مفروم صويا 350 جم طبق,145405.0,56852508.91000002,98.71879039768835,36,41.86046511627907,C,3.4578326999869677,Z,ابوهاشم
كبده 3 كيلو كيس 3 كيلو,143860.0,56996368.91000002,98.96858913936029,37,43.02325581395349,C,1.2400550094719573,Z,ابوهاشم
استربس الهنا 800 جرام,140100.0,57136468.91000002,99.21185901082033,38,44.18604651162791,C,4.242640687119286,Z,الهنا
كيلو مفروم هندى كيلو,112160.0,57248628.91000002,99.40661382012053,39,45.348837209302324,C,0.4875522974789609,X,ابوهاشم
استريس اسبشيال 900 جرام,61560.0,57310188.91000002,99.51350670582416,40,46.51162790697674,C,4.242640687119286,Z,اسبشيال
موزه طبق,48411.18,57358600.09000002,99.59756795875656,41,47.674418604651166,C,1.2941765386324864,Z,ابوهاشم
سجق اسبشيال 5 ك كيس,28500.0,57387100.09000002,99.64705540584158,42,48.837209302325576,C,2.088831560206511,Z,اسبشيال
برجر اسبشيال مخصوص 1 ك طبق,19433.0,57406533.09000002,99.68079889914695,43,50.0,C,1.6510034746200934,Z,اسبشيال
عجينة سجق بقرى 5 ك اسبشيال طبق,18895.0,57425428.09000002,99.7136082083635,44,51.162790697674424,C,1.60346670694591,Z,اسبشيال
بفتيك 400 جم طبق,17800.0,57443228.09000002,99.74451615777097,45,52.32558139534884,C,1.8703460329351036,Z,ابوهاشم
ام اكس طبق,13500.0,57456728.09000002,99.76795758007441,46,53.48837209302325,C,4.242640687119285,Z,ابوهاشم
عرض مصنعات الهنا كبير طبق,12600.0,57469328.09000002,99.78983624089093,47,54.65116279069767,C,3.2175986661593745,Z,الهنا
شاورما 400 جم طبق,10335.0,57479663.09000002,99.80778195196545,48,55.81395348837209,C,1.7799376156269162,Z,ابوهاشم
مفروم صويا 3 كيلو طبق,9582.0,57489245.09000002,99.82442015259593,49,56.97674418604651,C,4.242640687119285,Z,ابوهاشم
مفروم 3 كيلو كيس 3 كيلو,9120.0,57498365.09000002,99.84025613566314,50,58.139534883720934,C,1.440588115197074,Z,ابوهاشم
سجق الهنا 3 كيلو طبق,8028.0,57506393.09000002,99.85419596812625,51,59.30232558139535,C,4.242640687119285,Z,الهنا
كيلو سجق مخصوص طبق,7870.0,57514263.09000002,99.86786144912831,52,60.46511627906976,C,1.85623664482624,Z,ابوهاشم
كيلو اسكندرانى طبق,7307.5,57521570.59000002,99.88055020420109,53,61.627906976744185,C,1.2370377998389672,Z,ابوهاشم
استربس الهنا 900 جرام,6975.0,57528545.59000002,99.89266160572453,54,62.7906976744186,C,4.242640687119286,Z,الهنا
كيلو كفته مخصوص 2 طبق,6290.0,57534835.59000002,99.90358357211626,55,63.95348837209303,C,4.242640687119286,Z,ابوهاشم
برجر 800 ابوهاشم طبق,5400.0,57540235.59000002,99.91296014103763,56,65.11627906976744,C,4.242640687119285,Z,ابوهاشم
عجينه حواوشي طبق,5280.0,57545515.59000002,99.92212834176075,57,66.27906976744185,C,4.043035387957194,Z,غير مصنف
تشكيله هندى امامى كيلو,4817.2,57550332.79000002,99.9304929357993,58,67.44186046511628,C,1.9426604267264567,Z,ابوهاشم
صميد طبق,3625.0,57553957.79000002,99.93678739178817,59,68.6046511627907,C,4.242640687119285,Z,غير مصنف
كيلو برجر طبق,3600.0,57557557.79000002,99.94303843773575,60,69.76744186046511,C,4.242640687119285,Z,ابوهاشم
طبق ممبار طبق,3590.92,57561148.71000002,99.94927371715634,61,70.93023255813954,C,1.289511143024625,Z,ابوهاشم
سجق اسباشيل 1 كيلو طبق,3570.0,57564718.71000002,99.95547267105435,62,72.09302325581395,C,3.481730744843983,Z,اسبشيال
برجر مخصوص 600 جرام طبق,2900.0,57567618.71000002,99.96050823584545,63,73.25581395348837,C,3.0640501238560724,Z,غير مصنف
تشكيله برازيلى كيلو,2698.95,57570317.660000026,99.96519469708441,64,74.4186046511628,C,4.242640687119285,Z,ابوهاشم
كيلو سجق طبق,2643.0,57572960.660000026,99.96978400665093,65,75.5813953488372,C,1.811605607019457,Z,ابوهاشم
برجر اسبشيال طبق,2370.0,57575330.660000026,99.97389927856642,66,76.74418604651163,C,2.099859939306877,Z,اسبشيال
كيلو كفته مخصوص 1 طبق,2040.0,57577370.660000026,99.97744153793671,67,77.90697674418605,C,4.242640687119286,Z,ابوهاشم
كيلو كفته طبق,2000.0,57579370.660000026,99.98091434124093,68,79.06976744186046,C,2.0216475517580736,Z,ابوهاشم
جلتومات الصوديوم طبق,1875.0,57581245.660000026,99.98417009433864,69,80.23255813953489,C,4.242640687119285,Z,غير مصنف
كتف هندى طبق,1064.0,57582309.660000026,99.98601762569646,70,81.3953488372093,C,4.242640687119286,Z,ابوهاشم
كيلو كفته مخصوص 1 كيلو,1020.0,57583329.660000026,99.98778875538162,71,82.55813953488372,C,3.564531154716028,Z,ابوهاشم
كيلو قطع ه طبق,1000.0,57584329.660000026,99.98952515703373,72,83.72093023255815,C,4.242640687119286,Z,ابوهاشم
عجينة بقرى 1 ك كيلو,900.0,57585229.660000026,99.99108791852062,73,84.88372093023256,C,3.564531154716028,Z,ابوهاشم
كرتونه كبده امريكى كيلو,850.0,57586079.660000026,99.99256385992491,74,86.04651162790698,C,3.161533507278874,Z,ابوهاشم
كفته حاتي سيخ طبق,640.0,57586719.660000026,99.99367515698225,75,87.20930232558139,C,4.242640687119286,Z,غير مصنف
عجينه كفته طبق,600.0,57587319.660000026,99.99471699797353,76,88.37209302325581,C,4.242640687119286,Z,الهنا
بفتيك 600 جرام طبق,540.0,57587859.660000026,99.99565465486566,77,89.53488372093024,C,4.242640687119286,Z,ابوهاشم
كيلو عجينة سجق مخصوص طبق,450.0,57588309.660000026,99.99643603560911,78,90.69767441860465,C,3.0869745325651587,Z,غير مصنف
عجينة سجق اسباشيل بقرى 250 جرام طبق,437.5,57588747.160000026,99.9971957113319,79,91.86046511627907,C,2.6546206516792057,Z,اسبشيال
عجينة كفته الهنا خام طبق,400.0,57589147.160000026,99.99789027199274,80,93.02325581395348,C,4.242640687119285,Z,الهنا
جلد فراخ طبق,390.0,57589537.160000026,99.99856746863706,81,94.18604651162791,C,4.242640687119285,Z,ابوهاشم
استربس الهنا 1 كيلو,360.0,57589897.160000026,99.99919257323182,82,95.34883720930233,C,4.242640687119286,Z,الهنا
مفروم فراخ A طبق,300.0,57590197.160000026,99.99971349372746,83,96.51162790697676,C,4.242640687119285,Z,ابوهاشم
عجينة سجق اسبشيال نصف كيلو طبق,140.0,57590337.160000026,99.99995658995874,84,97.67441860465115,C,2.520504151250418,Z,اسبشيال
بكرة لزق شفاف طبق,25.0,57590362.160000026,100.00000000000004,85,98.83720930232558,C,4.242640687119286,Z,غير مصنف
عجينة بقرى 500 جرام كيلو,0.0,57590362.160000026,100.00000000000004,86,100.0,C,4.242640687119286,Z,ابوهاشم
