period,basis,estimated,source_period,net_sales,cogs,gross_profit,gross_margin_pct,total_expenses,net_profit,net_margin_pct
2025-07,measured,False,2025-07,2536929.0,1289237.0,1247692.0,49.1812,848991.0,398701.0,15.7159
2025-08,measured,False,2025-08,3005991.0,1745079.05,1260911.95,41.9466,737191.0,523720.95,17.4226
2025-09,measured,False,2025-09,3850745.0,2633584.4,1217160.6,31.6084,776565.0,440595.6,11.4418
2025-10,measured,False,2025-10,3695204.0,2317112.19,1378091.81,37.2941,632403.0,745688.81,20.1799
2025-11,measured,False,2025-11,3032555.14,1726407.5,1306147.64,43.0709,699396.0,606751.64,20.0079
2025-12,measured,False,2025-12,3170826.0,1795859.68,1374966.32,43.363,882341.0,492625.32,15.5362
2026-01,allocated,True,2026-Q1,2821652.24,1939188.46,882463.78,31.2747,732941.85,149521.93,5.2991
2026-02,allocated,True,2026-Q1,3650647.72,2508917.96,1141729.76,31.2747,948278.61,193451.15,5.2991
2026-03,allocated,True,2026-Q1,3489581.04,2398224.41,1091356.63,31.2747,906440.54,184916.09,5.2991
2026-04,measured,False,2026-04,3766096.5,2448699.45,1317397.05,34.9804,1255990.0,61407.05,1.6305
2026-05,measured,False,2026-05,4149967.0,1998174.59,2151792.41,51.8508,895679.0,1256113.41,30.268
2026-06,measured,False,2026-06,3741772.0,2039933.08,1701838.92,45.4822,1282997.0,418841.92,11.1937
2026-07,measured,False,2026-07,4784135.0,2736459.37,2047675.63,42.8014,1088702.54,958973.09,20.0449
