item_code,item_name,brand,revenue_costed,qty,cogs,conv_cost,opex_cost,full_cost,gross_profit,op_profit,n_lines,revenue_total,revenue_uncosted,gross_margin_pct,op_margin_pct,cost_coverage_pct
13,سجق شرقى 3 ك ابو هاشم كيس 3 كيلو,ابوهاشم,2511655.8,6821.0,1926797.4442,235977.299,237111.5897,2399886.3329,584858.3558,111769.4671,165.0,2511655.8,0.0,23.2858,4.45,100.0
101,كفته الهنا 800 جرام طبق,الهنا,2060834.13,39132.0,998319.9312,361013.0933,475959.9464,1835292.9709,1062514.1988,225541.1591,270.0,2060834.13,0.0,51.5575,10.9442,100.0
120,برجر الهنا 900 جرام طبق,الهنا,1421736.98,25104.0,724031.4931,260547.1681,304005.4011,1288584.0623,697705.4869,133152.9177,195.0,1421736.98,0.0,49.0742,9.3655,100.0
402,كفته اسبيشيال عائلى طبق,اسبشيال,1082971.27,17934.0,627378.6658,186131.8079,181102.3329,994612.8068,455592.6042,88358.4632,130.0,1082971.27,0.0,42.0688,8.1589,100.0
102,كفته الهنا 350 طبق,الهنا,941656.95,43397.0,593511.476,175157.4743,109399.2095,878068.1595,348145.474,63588.7905,276.0,941656.95,0.0,36.9716,6.7529,100.0
346,بانيه 800 جرام طبق,الهنا,913488.9,16577.0,368904.9061,152931.4638,236544.0085,758380.3796,544583.9939,155108.5204,140.0,913488.9,0.0,59.6158,16.9798,100.0
404,برجر اسبشيال عائلى طبق,اسبشيال,909163.75,14283.0,442623.0285,164710.148,209077.8947,816411.0712,466540.7215,92752.6788,169.0,909163.75,0.0,51.3154,10.202,100.0
104,برجر الهنا 400 جرام طبق,الهنا,668737.23,24077.0,339285.3794,111061.436,142045.4676,592392.2835,329451.8506,76344.9465,187.0,668737.23,0.0,49.2648,11.4163,100.0
108,سجق الهنا 350 طبق,الهنا,547318.93,18497.0,239760.6111,74656.9535,133569.0183,447986.5827,307558.3189,99332.3473,120.0,547318.93,0.0,56.1936,18.1489,100.0
398,بانيه 900 جرام اسباشيل كيس,اسبشيال,517168.0,8606.0,208603.3556,89319.1893,133757.7051,431680.2496,308564.6444,85487.7504,85.0,517168.0,0.0,59.6643,16.53,100.0
