month,item_code,item_name,brand,revenue,qty,cogs,full_cost,gross_profit,op_profit,n_lines,gross_margin_pct,op_margin_pct,basis,estimated
2025-07,13,سجق شرقى 3 ك ابو هاشم كيس 3 كيلو,ابوهاشم,435340.0,1367.0,313181.4081,394182.5711,122158.5919,41157.4289,31,28.0605,9.4541,calibrated,False
2025-07,120,برجر الهنا 900 جرام طبق,الهنا,340733.88,7041.0,164697.9983,299974.9621,176035.8817,40758.9179,47,51.6637,11.9621,calibrated,False
2025-07,101,كفته الهنا 800 جرام طبق,الهنا,322618.64,7021.0,145270.06,273564.0872,177348.58,49054.5528,64,54.9716,15.2051,calibrated,False
2025-07,404,برجر اسبشيال عائلى طبق,اسبشيال,199235.5,3495.0,87841.7937,165983.1939,111393.7063,33252.3061,17,55.9106,16.69,calibrated,False
2025-07,346,بانيه 800 جرام طبق,الهنا,183654.0,3675.0,66329.28,140095.8448,117324.72,43558.1552,39,63.8836,23.7175,calibrated,False
2025-07,102,كفته الهنا 350 طبق,الهنا,153365.89,7637.0,84709.4085,127491.2933,68656.4815,25874.5967,65,44.7665,16.8712,calibrated,False
2025-07,104,برجر الهنا 400 جرام طبق,الهنا,102223.52,4282.0,48938.3003,87395.3817,53285.2197,14828.1383,44,52.1262,14.5056,calibrated,False
2025-07,257,سجق الهنا 5 كيلو طبق,الهنا,71400.0,246.0,26952.5191,59400.6565,44447.4809,11999.3435,16,62.2514,16.8058,calibrated,False
2025-07,108,سجق الهنا 350 طبق,الهنا,67860.0,2700.0,28384.4021,54351.619,39475.5979,13508.381,32,58.1721,19.9062,calibrated,False
2025-07,402,كفته اسبيشيال عائلى طبق,اسبشيال,57681.0,1094.0,31039.1163,50177.764,26641.8837,7503.236,9,46.1883,13.0082,calibrated,False
2025-07,1,مفروم صافى 400 جم طبق,ابوهاشم,57640.0,739.0,22574.6764,40734.7745,35065.3236,16905.2255,22,60.8351,29.329,calibrated,False
