month,basis,revenue_costed,qty,cogs,conv_cost,opex_cost,full_cost,gross_profit,op_profit,n_lines,revenue_total,revenue_uncosted,gross_margin_pct,op_margin_pct,cost_coverage_pct,price_index,cost_period_drift_pct,n_skus_in_basket,indicative_reliable
2025-01,indicative,2794365.96,66649.0,1710832.6015,497170.2535,654463.1577,2862466.0131,1083533.3585,-68100.0531,810,2928292.96,133927.0,38.7756,-2.437,95.4264,84.2703,-15.7297,18,False
2025-02,indicative,1983952.97,46761.5,1227450.1721,349587.862,468643.389,2045681.4235,756502.7979,-61728.4535,600,2152970.97,169018.0,38.1311,-3.1114,92.1495,83.924,-16.076,18,False
2025-03,indicative,3007187.495,68927.0,1907215.3822,525879.4987,675651.3944,3108746.2757,1099972.1128,-101558.7807,750,3326914.495,319727.0,36.5781,-3.3772,90.3897,83.8801,-16.1199,18,False
2025-04,indicative,2325070.63,59322.5,1391766.6683,427431.6562,544609.8002,2363808.1249,933303.9617,-38737.4949,613,2442991.52,117920.89,40.1409,-1.6661,95.1731,84.6542,-15.3458,19,False
2025-05,indicative,2850056.75,64533.0,1773094.0077,498841.8025,638606.157,2910541.9677,1076962.7423,-60485.2177,661,3163361.15,313304.4,37.7874,-2.1222,90.0958,85.2393,-14.7607,26,False
2025-06,indicative,1955878.485,37118.0,1252091.688,326736.2461,424821.4947,2003649.429,703786.797,-47770.944,458,2116277.735,160399.25,35.9832,-2.4424,92.4207,84.2616,-15.7384,26,False
2025-07,indicative,2367922.17,46780.0,1483721.6224,403080.8931,524462.3288,2411264.8448,884200.5476,-43342.6748,562,2642056.17,274134.0,37.3408,-1.8304,89.6242,85.6487,-14.3513,26,False
2025-08,indicative,2898413.28,60921.5,1841161.9852,503118.9847,636224.4811,2980505.4514,1057251.2948,-82092.1714,733,3042711.98,144298.7,36.4769,-2.8323,95.2576,85.1655,-14.8345,28,False
2025-09,indicative,3513374.08,76120.0,2171718.6449,610653.9654,775278.2104,3557650.8214,1341655.4351,-44276.7414,802,3873847.08,360473.0,38.1871,-1.2602,90.6947,85.8594,-14.1406,28,False
2025-10,indicative,3483234.24,80061.5,2172186.329,620160.2884,768150.171,3560496.7888,1311047.911,-77262.5488,840,3711622.74,228388.5,37.6388,-2.2181,93.8467,85.5033,-14.4967,28,False
2025-11,indicative,2923228.82,63377.5,1849846.9628,487303.5585,615086.8243,2952237.3459,1073381.8572,-29008.5259,705,3032455.14,109226.32,36.7191,-0.9923,96.3981,86.2922,-13.7078,28,False
2025-12,indicative,3047059.91,66955.5,1916646.5019,524608.683,661910.6541,3103165.8396,1130413.4081,-56105.9296,722,3173527.23,126467.32,37.0985,-1.8413,96.0149,85.8926,-14.1074,28,False
2026-01,indicative,2486043.71,48619.0,1593411.372,414850.3516,537237.7014,2545499.4253,892632.338,-59455.7153,661,2678931.71,192888.0,35.9057,-2.3916,92.7998,85.2144,-14.7856,28,False
2026-02,indicative,3135451.01,68745.0,1972519.7061,534422.3313,684040.6701,3190982.7077,1162931.3039,-55531.6977,658,3465996.21,330545.2,37.0898,-1.7711,90.4632,85.7704,-14.2296,28,False
2026-03,indicative,3184693.77,63640.5,1914402.2962,512520.3673,639234.3463,3066157.0103,1270291.4738,118536.7597,610,3313076.35,128382.58,39.8874,3.7221,96.125,90.669,-9.331,28,True
2026-04,indicative,4329162.4,81963.0,2294808.3076,660054.9012,842668.4562,3797531.6656,2034354.0924,531630.7344,752,4492997.3,163834.9,46.9919,12.2802,96.3536,98.8492,-1.1508,28,True
2026-05,indicative,4056964.63,65632.5,2194510.9569,564860.7849,743453.8844,3502825.6266,1862453.6731,554139.0034,723,4164840.63,107876.0,45.9076,13.659,97.4098,100.3512,0.3512,29,True
2026-06,measured,3741772.0002,62786.5,2039933.0801,544605.0,738391.9998,3322930.0802,1701838.9201,418841.92,800,3741772.0002,0.0,45.4822,11.1937,100.0,100.0,0.0,33,True
