item_code,cost_item_name,cost_brand,june_qty,mat_unit,conv_unit,opex_unit,full_unit,june_return_rate,june_avg_price,list_price,rec_price,floor_price,abc,june_gross_margin,june_op_margin,flags
13,سجق شرقي 3 ك ابو هاشم,أبو هاشم,1607.0,282.4802,34.595704293714995,34.761998195395144,351.83790248911015,0.032506551824332736,374.7822,375.0,399.75,399.8158,A,0.221,0.0297,هامش دون المستهدف
101,كفته الهنا 800 جرام,الهنا,8784.0,25.5116,9.225521140710383,12.162934335154828,46.90005547586521,0.03250655183521736,55.3436,67.0,55.25,52.1112,A,0.5235,0.1241,—
120,برجر الهنا 900 جرام,الهنا,6540.0,28.84128,10.37871128440367,12.109839113149848,51.329830397553515,0.032506551920089256,58.6587,70.0,58.75,57.0331,A,0.4918,0.0955,—
402,كفته اسبيشيال عائلي,سبيشال,4294.0,34.98264,10.378711271541686,10.098267699115043,55.45961897997205,0.03250655194540267,60.2144,80.0,60.25,60.2822,A,0.3995,0.048,هامش دون المستهدف
404,برجر اسبيشيال عائلي,سبيشال,3738.0,30.9895,11.531901417870518,14.638233895131087,57.1596353130016,0.03250655167987639,66.9023,80.0,67.0,62.13,A,0.5212,0.1169,—
346,بانيه 800 جرام,أخرى (تجاري),3412.0,22.254021,9.22552113130129,14.269409935521688,45.74895213950762,0.032506551787973216,56.9947,58.5,57.0,50.2736,A,0.5964,0.1703,—
102,كفته الهنا 350,الهنا,8670.0,13.676325,4.036165501730104,2.5208933679354093,20.2333838638985,0.03250655179127726,20.1412,32.0,22.5,22.4815,A,0.2982,-0.0383,بيع < تكلفة محمّلة؛ هامش دون المستهدف
398,بانيه 900 جرام اسباشيل,سبيشال,2500.0,24.239293,10.378711280000001,15.542378,50.16038224,0.03250655163081998,62.0792,64.0,62.0,54.5222,A,0.5964,0.1648,—
439,استربس الهنا 800 جرام,الهنا,935.0,58.505994,9.22552117647059,37.514389197860964,105.245904171123,0.032506551748750896,149.8396,150.0,149.75,116.9399,A,0.5964,0.274,—
104,برجر الهنا 400 جرام,الهنا,4635.0,14.09168,4.612760560949298,5.899633160733549,24.60407374325782,0.03250655177872764,28.6194,34.0,28.5,27.3379,A,0.4911,0.1114,—
257,سجق الهنا 5 كيلو,الهنا,358.0,135.0905,57.65950698324023,96.7331438547486,289.4831511173184,0.032506551685096426,370.0698,375.0,370.0,321.6479,A,0.6227,0.1915,—
108,سجق الهنا 350,الهنا,3375.0,12.962135,4.036165511111111,7.221117925925927,24.21941842962963,0.03250655144032922,30.6,36.0,30.5,26.9105,A,0.5622,0.1819,—
403,برجر اسبيشيال صغير,سبيشال,3287.0,15.2158,4.612760571950107,5.713952083967143,25.542512655917253,0.03250655141376979,29.339,36.0,29.25,28.3806,B,0.464,0.1001,—
399,كفته اسبيشيال صغير,سبيشال,3529.0,16.30436,4.036165485973363,4.078453301218476,24.41897880419382,0.032506551414390905,26.568,35.0,27.25,27.1322,B,0.3657,0.05,هامش دون المستهدف
435,عجينة بقري 5 ك,أخرى (تجاري),166.0,178.410879,57.65950722891566,114.3981108433735,350.4684969879518,0.0325065524060646,456.9277,460.0,457.0,393.7848,B,0.5964,0.2072,—
1,مفروم صافي 400 جم (ابو هاشم),أبو هاشم,647.0,37.664972,4.61276058732612,24.15100309119011,66.42873632148377,0.03250655162468756,96.4637,100.0,96.5,77.2427,B,0.5964,0.2882,—
441,استريس اسبشيال 900 جرام,سبيشال,374.0,64.268897,10.378711229946523,41.20959679144385,115.85720481283421,0.03250655133203379,164.5989,170.0,164.5,128.7302,B,0.5964,0.2725,—
2,كبده اسكندراني 400 (ابو هاشم),أبو هاشم,797.0,29.690942,4.612760602258469,19.03800727728984,53.341709535759094,0.03250655226466463,76.0414,78.0,76.0,62.0252,B,0.5964,0.2749,—
80,برجر 1200 جم,أبو هاشم,395.0,99.94728,13.838281772151898,19.488053164556963,133.27361493670884,0.032506552706552706,149.7304,175.0,155.0,154.9693,B,0.3101,0.08,هامش دون المستهدف
99,سجق الهنا 800 جرام,الهنا,937.0,25.03488,9.22552113127001,15.188493703308431,49.44889487726788,0.032506552155848446,62.0585,73.0,62.0,56.1919,B,0.583,0.1764,—
255,برجر ابو هاشم جامبو 1.5 كيلو,أبو هاشم,252.0,123.2791,17.297851984126982,22.187902777777776,162.76485476190476,0.032506552938586834,180.2778,200.0,189.25,189.2615,B,0.2932,0.0668,هامش دون المستهدف
107,سجق 800 ابو هاشم,أبو هاشم,353.0,79.13672,9.225521246458923,13.641317847025494,102.00355920679887,0.032506550965170584,114.2924,132.0,118.5,118.6088,B,0.2843,0.0775,هامش دون المستهدف
405,سجق اسبيشيال صغير,سبيشال,1218.0,13.53334,3.4595704433497536,7.696930706075534,24.689841133004926,0.032506551859895094,32.3239,39.0,32.25,28.3791,C,0.5673,0.2105,—
406,سجق اسبيشيال عائلى,سبيشال,456.0,26.64446,8.072330921052632,18.41146557017544,53.12825657894737,0.03250655130473242,71.4,84.0,71.5,61.067,C,0.6143,0.2309,—
420,برجر الهنا 800 جرام,الهنا,588.0,26.37336,9.225521088435373,8.10153656462585,43.70041768707483,0.03250655299377575,46.5592,61.0,51.5,51.4123,C,0.4145,0.0299,هامش دون المستهدف
421,برجر ابو هاشم 1 ك,أبو هاشم,219.0,83.7394,11.531901369863013,14.389478082191781,109.6607794520548,0.03250655274315816,120.832,132.0,132.0,132.1214,C,0.2837,0.062,هامش دون المستهدف
114,كفته ابو هاشم 800,أبو هاشم,242.0,76.01336,9.225521074380167,9.939838842975206,95.17871983471073,0.03250655118899433,102.2463,117.0,114.75,114.6732,C,0.2316,0.0378,هامش دون المستهدف
292,عجينه سجق 5 كيلو الهنا,الهنا,73.0,135.0905,57.65950684931507,37.935331506849316,230.68533835616438,0.03250655151876117,230.0,230.0,271.5,271.3945,C,0.3929,-0.0367,بيع < تكلفة محمّلة؛ هامش دون المستهدف
7,سجق 350 جم ابو هاشم,أبو هاشم,181.0,36.54919,4.036165745856354,6.043432044198895,46.62878729281768,0.03250654947847726,52.174,61.0,56.25,56.1793,C,0.2759,0.0763,هامش دون المستهدف
33,كيلو مفروم هندي,أخرى (تجاري),34.5,103.341101,11.531901449275361,66.26292463768117,181.1359275362319,0.032506549118387906,264.6667,280.0,264.75,210.6232,C,0.5964,0.2926,—
8,كفته 350 جم ابو هاشم,أبو هاشم,142.0,35.41522,4.036165492957746,5.6453,45.096685211267605,0.032506556362203835,50.0535,56.0,54.25,54.3334,C,0.2687,0.0688,هامش دون المستهدف
447,استربس الهنا 900 جرام,الهنا,45.0,60.520922,10.37871111111111,38.80637333333333,109.70600666666667,0.03250655197132617,155.0,155.0,155.0,129.0659,C,0.5964,0.2684,—
440,استربس الهنا 1 كيلو,الهنا,3.0,46.8549,11.5319,30.043633333333332,88.43046666666667,0.03250666666666667,120.0,120.0,120.0,104.0358,C,0.5964,0.2383,—
