invoice_no,invoice_date,invoice_time,customer_code,customer_name,phone,address,seq,item_code,item_name,unit,qty,unit_price,tax_pct,discount_pct,line_total,is_bonus,month,brand,carton_capacity,carton_units,boxes
b1760,2026-04-20,"",438,ثلجه السيد الوكيل القرين,01271725565,"",1.0,102,كفته الهنا 350 طبق,"",75.0,0.0,0.0,0.0,0.0,true,2026-04,الهنا,15 كيس,15.0,5.0
b001605,2026-02-08,"",786,م العزالى م امام,"","",1.0,102,كفته الهنا 350 طبق,"",75.0,27.5,0.0,17.0,1711.87,false,2026-02,الهنا,15 كيس,15.0,5.0
b001605,2026-02-08,"",786,م العزالى م امام,"","",2.0,104,برجر الهنا 400 جرام طبق,"",75.0,28.5,0.0,17.0,1774.12,false,2026-02,الهنا,15 كيس,15.0,5.0
b001605,2026-02-08,"",786,م العزالى م امام,"","",3.0,120,برجر الهنا 900 جرام طبق,"",60.0,58.5,0.0,17.0,2913.3,false,2026-02,الهنا,12 كيس,12.0,5.0
b01000,2026-02-07,"",10,المحل ابو هاشم,"","",1.0,33,كيلو مفروم هندى كيلو,"",9.5,200.0,0.0,0.0,1900.0,false,2026-02,ابوهاشم,,,
b01000,2026-02-07,"",10,المحل ابو هاشم,"","",2.0,107,سجق 800 ابو هاشم طبق,"",10.0,65.0,0.0,0.0,650.0,false,2026-02,ابوهاشم,16 كيس,16.0,0.625
b01001,2026-01-31,"",504,حدوته,"","",1.0,102,كفته الهنا 350 طبق,"",45.0,0.0,0.0,0.0,0.0,true,2026-01,الهنا,15 كيس,15.0,3.0
b01002,2026-02-01,"",719,كشرى الطيب ( النور ),01032975557,"",1.0,292,عجينه سجق 5 كيلو الهنا طبق,"",25.0,200.0,0.0,0.0,5000.0,false,2026-02,الهنا,3 كيس,3.0,8.333333333333334
b01003,2026-02-01,"",877,مطعم نور الشام,"","",1.0,101,كفته الهنا 800 جرام طبق,"",24.0,56.0,0.0,13.0,1169.28,false,2026-02,الهنا,12 كيس,12.0,2.0
b01003,2026-02-01,"",877,مطعم نور الشام,"","",2.0,120,برجر الهنا 900 جرام طبق,"",6.0,58.5,0.0,13.0,305.37,false,2026-02,الهنا,12 كيس,12.0,0.5
b01003,2026-02-01,"",877,مطعم نور الشام,"","",3.0,397,بانيه 800 جرام اسباشيل كيس,"",36.0,50.0,0.0,0.0,1800.0,false,2026-02,اسبشيال,12 كيس,12.0,3.0
